SOURCE_DESC	SECTOR_DESC	GROUP_DESC	COMMODITY_DESC	CLASS_DESC	PRODN_PRACTICE_DESC	UTIL_PRACTICE_DESC	STATISTICCAT_DESC	UNIT_DESC	SHORT_DESC	DOMAIN_DESC	DOMAINCAT_DESC	AGG_LEVEL_DESC	STATE_ANSI	STATE_FIPS_CODE	STATE_ALPHA	STATE_NAME	ASD_CODE	ASD_DESC	COUNTY_ANSI	COUNTY_CODE	COUNTY_NAME	REGION_DESC	ZIP_5	WATERSHED_CODE	WATERSHED_DESC	CONGR_DISTRICT_CODE	COUNTRY_CODE	COUNTRY_NAME	LOCATION_DESC	YEAR	FREQ_DESC	BEGIN_CODE	END_CODE	REFERENCE_PERIOD_DESC	WEEK_ENDING	LOAD_TIME	VALUE	CV_%
SURVEY	CROPS	FIELD CROPS	SOYBEANS	ALL CLASSES	ALL PRODUCTION PRACTICES	ALL UTILIZATION PRACTICES	YIELD	BU / ACRE	SOYBEANS - YIELD, MEASURED IN BU / ACRE	TOTAL	NOT SPECIFIED	COUNTY	26	26	MI	MICHIGAN	70	SOUTHWEST	027	027	CASS			00000000			9000	UNITED STATES	MICHIGAN, SOUTHWEST, CASS	1972	ANNUAL	00	00	YEAR		2012-01-01 00:00:00	23.1	 
SURVEY	CROPS	FIELD CROPS	SOYBEANS	ALL CLASSES	ALL PRODUCTION PRACTICES	ON FARM	STOCKS	BU	SOYBEANS, ON FARM - STOCKS, MEASURED IN BU	TOTAL	NOT SPECIFIED	STATE	47	47	TN	TENNESSEE								00000000			9000	UNITED STATES	TENNESSEE	1965	POINT IN TIME	12	12	FIRST OF DEC		2012-01-01 00:00:00	2,236,000	 
SURVEY	CROPS	FIELD CROPS	SUGARBEETS	ALL CLASSES	ALL PRODUCTION PRACTICES	ALL UTILIZATION PRACTICES	SUCROSE	PCT	SUGARBEETS - SUCROSE, MEASURED IN PCT	TOTAL	NOT SPECIFIED	COUNTY	39	39	OH	OHIO	10	NORTHWEST	137	137	PUTNAM			00000000			9000	UNITED STATES	OHIO, NORTHWEST, PUTNAM	1983	ANNUAL	00	00	YEAR		2012-01-01 00:00:00	16.26	 
SURVEY	CROPS	FIELD CROPS	HAY	ALL CLASSES	ALL PRODUCTION PRACTICES	ALL UTILIZATION PRACTICES	PRODUCTION	TONS	HAY - PRODUCTION, MEASURED IN TONS	TOTAL	NOT SPECIFIED	COUNTY	29	29	MO	MISSOURI	10	NORTHWEST	003	003	ANDREW			00000000			9000	UNITED STATES	MISSOURI, NORTHWEST, ANDREW	1992	ANNUAL	00	00	YEAR		2012-01-01 00:00:00	49,500	 
SURVEY	CROPS	FIELD CROPS	CORN	ALL CLASSES	ALL PRODUCTION PRACTICES	SILAGE	PRODUCTION	TONS	CORN, SILAGE - PRODUCTION, MEASURED IN TONS	TOTAL	NOT SPECIFIED	COUNTY	36	36	NY	NEW YORK	50	CENTRAL	023	023	CORTLAND			00000000			9000	UNITED STATES	NEW YORK, CENTRAL, CORTLAND	1991	ANNUAL	00	00	YEAR		2012-01-01 00:00:00	184,200	 
SURVEY	CROPS	FIELD CROPS	HAY	ALFALFA	ALL PRODUCTION PRACTICES	ALL UTILIZATION PRACTICES	YIELD	TONS / ACRE	HAY, ALFALFA - YIELD, MEASURED IN TONS / ACRE	TOTAL	NOT SPECIFIED	COUNTY	31	31	NE	NEBRASKA	10	NORTHWEST	049	049	DEUEL			00000000			9000	UNITED STATES	NEBRASKA, NORTHWEST, DEUEL	1965	ANNUAL	00	00	YEAR		2012-01-01 00:00:00	2.88	 
SURVEY	CROPS	FIELD CROPS	WHEAT	WINTER	NON-IRRIGATED	ALL UTILIZATION PRACTICES	PRODUCTION	BU	WHEAT, WINTER, NON-IRRIGATED - PRODUCTION, MEASURED IN BU	TOTAL	NOT SPECIFIED	COUNTY	46	46	SD	SOUTH DAKOTA	50	CENTRAL	017	017	BUFFALO			00000000			9000	UNITED STATES	SOUTH DAKOTA, CENTRAL, BUFFALO	2006	ANNUAL	00	00	YEAR		2012-01-01 00:00:00	154,000	 
SURVEY	CROPS	FIELD CROPS	SUNFLOWER	ALL CLASSES	ALL PRODUCTION PRACTICES	ALL UTILIZATION PRACTICES	AREA HARVESTED	ACRES	SUNFLOWER - ACRES HARVESTED	TOTAL	NOT SPECIFIED	COUNTY	38	38	ND	NORTH DAKOTA	50	CENTRAL	083	083	SHERIDAN			00000000			9000	UNITED STATES	NORTH DAKOTA, CENTRAL, SHERIDAN	1984	ANNUAL	00	00	YEAR		2012-01-01 00:00:00	69,000	 
SURVEY	CROPS	FIELD CROPS	HAY	ALFALFA	ALL PRODUCTION PRACTICES	ALL UTILIZATION PRACTICES	AREA HARVESTED	ACRES	HAY, ALFALFA - ACRES HARVESTED	TOTAL	NOT SPECIFIED	COUNTY	40	40	OK	OKLAHOMA	60	SOUTH CENTRAL	123	123	PONTOTOC			00000000			9000	UNITED STATES	OKLAHOMA, SOUTH CENTRAL, PONTOTOC	1993	ANNUAL	00	00	YEAR		2012-01-01 00:00:00	2,000	 
SURVEY	CROPS	FIELD CROPS	WHEAT	ALL CLASSES	NON-IRRIGATED	ALL UTILIZATION PRACTICES	AREA HARVESTED	ACRES	WHEAT, NON-IRRIGATED - ACRES HARVESTED	TOTAL	NOT SPECIFIED	AGRICULTURAL DISTRICT	53	53	WA	WASHINGTON	90	SOUTHEAST						00000000			9000	UNITED STATES	WASHINGTON, SOUTHEAST	1975	ANNUAL	00	00	YEAR		2012-01-01 00:00:00	951,100	 
